Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_943	K65	2	2	1.0	Highly confident
cl60_948	OC4	1	1	1.0	Highly confident
cl60_957	K146	1	1	1.0	Highly confident
cl60_969	K17	1	1	1.0	Highly confident
cl60_974	K146	1	1	1.0	Highly confident
cl60_979	OC2	2	3	0.666667	Uncertain
cl60_980	K25	2	3	0.666667	Uncertain
cl60_998	K1	12	27	0.444444	Confident
cl60_1010	OC1	1	1	1.0	Highly confident
cl60_1012	K65	2	4	0.5	Uncertain
cl60_1031	K30	1	1	1.0	Highly confident
cl60_1039	OC20	2	2	1.0	Highly confident
cl60_1044	K2	2	2	1.0	Highly confident
cl60_1069	K125	1	1	1.0	Highly confident
cl60_1074	OC20	1	1	1.0	Highly confident
cl60_1079	K217	1	1	1.0	Highly confident
cl60_1109	OC6	2	2	1.0	Highly confident
cl60_1135	OC6	2	2	1.0	Highly confident
cl60_1142	OC1	2	2	1.0	Highly confident
cl60_1145	OC4	4	6	0.666667	Confident
cl60_1146	K203	2	7	0.285714	Uncertain
cl60_1147	K24-Wzy-GI2	3	4	0.75	Uncertain
cl60_1150	OC16	1	1	1.0	Highly confident
cl60_1158	OC1	47	136	0.345588	Confident
cl60_1159	K146	1	2	0.5	Uncertain
cl60_1161	K4	1	1	1.0	Highly confident
cl60_1164	OC3	6	7	0.857143	Confident
cl60_1176	OC4	4	6	0.666667	Confident
cl60_1180	K23	1	1	1.0	Highly confident
cl60_1189	K53	1	1	1.0	Highly confident
